Original_Review,측면 및 감성 추출,label
"네모네모 컨셉이 너무 기여워용 멀그레미케미크 얼그레이맛이 진하고 무화과도 많이 들어있어서 아쥬 맘에들었어용","케이크(긍정), 분위기감성(긍정)","001000010000"
"맛집!!! 좋았어요 다음에 또 갈 예정입니다","대상 모호(없음)","000000000000"
"우연히 지나가다가 들렸는데 디저트가 진짜 너무 예뻐요.. 가격은 조금 비싸다고 느껴질수도 있지만... 사장님도 너무 친절하시고 완젼 예쁘셨어여","기타디저트(긍정), 서비스(긍정), 가격가성비(중립)","000001001300"
"가게도이쁘고 스모어도 맛잇어용","기타디저트(긍정), 분위기감성(긍정)","000001010000"
"기념일이나, 간식 선물 사갈 때 자주 들리고 있어요!! 위치도 너무 좋고 다양한 종류의 베이글이 많아서 계속 먹어도 넘 좋아요!!","베이커리빵(긍정), 선물포장(긍정)","010000000010"
"올해 먹은 디저트 중 가장 맛있었어요! 위에 올라가는 머랭은 너무 달지 않고 조화로워서 즐거웠네요","기타디저트(긍정)","000001000000"
"아늑한 분위기고 커피 맛있어요!","커피음료(긍정), 분위기감성(긍정)","100000010000"
"비교적 한산한 시간대 6살 아이와 함께 매장을 방문했습니다... 1인 1메뉴 정책은 이해할 수 있으나, 상황에 따른 융통성 없이 기계적으로 대응하는 서비스는 매우 아쉬웠습니다.","서비스(부정), 혼잡도_웨이팅(긍정)","000000002001"
"엄마 생일이라 어썸스윗 성수에서 딸기케익 주문했어요... 요건 한 번에 먹기 적당한 사이즈라 굿굿 레터링도 새길수 있어 더욱 특별한 너낌 사장님도 친절하셔서 기분 좋게 들렀다 갑니당","케이크(긍정), 서비스(긍정)","001000001000"
"진짜 너무 아름다운 공간이었습니다! 비건떼랑 와인 마시면서 잘 놀았어요","커피음료(긍정), 분위기감성(긍정)","100000010000"
"메뉴도 다 건강한 느낌인데 무엇보다 맛있어요!! 성수놀러오면 또 올거 같아요","대상 모호(없음)","000000000000"
"펄수플레 너무 맛있어요! 다들 먹으러 오세요!!","기타디저트(긍정)","000001000000"
"까눌레가 비싸긴 하지만 맛있습니다","쿠키구움과자(긍정), 가격가성비(부정)","000100000200"
"집 근처인데 카페 규모도 크고 디저트도 여기서 직접 만드네요! 분위기 너무 좋고 다음에 또 와야겠어요!","기타디저트(긍정), 공간편의시설(긍정), 분위기감성(긍정)","000001110000"
"분위기 너무 좋고 사람도 없어서 친구랑 도란도란 이야기 하기 좋았어요","분위기감성(긍정), 혼잡도_웨이팅(긍정)","000000010001"
"주차못하고 주변에 공사하고 그냥그래요","공간편의시설(부정)","000000200000"
"치즈케잌이 특히 맛있어요! 모래 위에서 해주는 커피가 인상깊어요) 근처에 온다면 다시 들리고 싶습니다","커피음료(긍정), 케이크(긍정)","101000000000"
"팝업스토어 대기를 하다가... 매장도 엄청 넓고 케이크가 비주얼이 좋아서... 아이스 아메리카노도 진하고 고소에 가까운 커피여서 내 입맛에 딱 맞았고","커피음료(긍정), 케이크(긍정), 공간편의시설(긍정)","101000100000"
"급하게 생일파티 잡혀서 알아보다가 알게된 케익집 디자인도 너무 다양하게 많고 맛있어서 다음에 카페로 이용하려고여 여기 대박나야해요 감성 최고","케이크(긍정), 분위기감성(긍정)","001000010000"
"심플한 인테리어가 취향저격. 초콜릿 풍미 가득한 루프 라떼 맛있네요!","커피음료(긍정), 분위기감성(긍정)","100000010000"
"주차가 안되는게 아쉽지만 친절하고 맛있어요.","공간편의시설(부정), 서비스(긍정)","000000201000"
"오트허니씨쏠트라떼와 치즈케이크먹었습니다. 단짠단짠 좋아하시는 분들이라면 꼭 이 라떼드셔보세요!","커피음료(긍정), 케이크(긍정)","101000000000"
"근처에서 옥수수빵 먹고 들어와서 크림치즈 시켰는데 너무 맛있고 직원분이 너무 착하시고 빵이 너무맛있어요","베이커리빵(긍정), 서비스(긍정)","010000001000"
"디저트 다양하고 맛있어요. 다만 상이 낮아서 좀 불편해요","기타디저트(긍정), 공간편의시설(부정)","000001200000"
"친구를 만나러 가다가 우연히 들린 커피냅로스터스! 페스츄리가 정말 너무 맛있었고, 안에 필링도 심하게 달지 않고 부드러워서 좋았습니다!","베이커리빵(긍정)","010000000000"
"젤 좋아하는 무화과 깜빠뉴!! 진짜 맛남.. 무화과 덩어리가 굿굿","베이커리빵(긍정)","010000000000"
"젤라또 진짜 맛있어요 요거트 진하고 텁텁하지 않고 맛있어요. 커피도 고소하고 힙 한 곳 !!!","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)","100001010000"
"이벤트로 우연히 들어왔는데 너무 맛있어요 또 올게여","대상 모호(없음)","000000000000"
"토끼떡 너무 귀엽고 종류가 많아요 다음에 또 올게요","기타디저트(긍정)","000001000000"
"너무 맛나용 여기 오면 스트레스 풀려요","대상 모호(없음)","000000000000"
"사장님 너무너무 친절하시고 크로플도 완전 맛있어요!!! 분위기도 너무좋고 최고임당","기타디저트(긍정), 분위기감성(긍정), 서비스(긍정)","000001011000"
"사과소르베 리코타치즈 아이스크림이 너무 맛있어영","기타디저트(긍정)",000001000000
"디저트 맛있고 인테리어도 이쁩니다분좋카 굿","기타디저트(긍정), 분위기감성(긍정)",000001010000
"소금빵 역시 완전 맛있어요!! 매장도 너무 예쁘고 넓어서 편하게 있다오기 좋구 명란 소금빵 처음 먹어봤는데 한번먹으면 자꾸생각날만 하더라구요 디저트 러버들에게 꼭 가볼만한 곳","베이커리빵(긍정), 공간편의시설(긍정), 분위기감성(긍정)","010000110000"
"커피도 너무 맛있고 안에 공간도 쾌적하고 넓어요! 간판이 예뻐서 들어왔는데 맛있고 내부도 좋아서 자주 올것같아요","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정)","100000110000"
"진짜 맛있어요 ! 지난번 말차도 맛잇고 망고도 맛잇엇어요!","대상 모호(없음)",000000000000
"엄청 줄서있길래 기대를 많이했는데... 소금빵이라기보다는 기름진 모닝빵같은 느낌이에요","베이커리빵(부정), 혼잡도_웨이팅(부정)","020000000002"
"드디어 코끼리베이글을..! 저 크림 가득한 모습을 봐주세요! 기절","베이커리빵(긍정)",010000000000
"아메리카노가 고소하고 적당히 깊어서 맛있어요 기본 아메리카노가 맛있어서 그런지 천상가옥 시그니처 커피 꾸덕꾸덕하고 달달하니 꼬수워요! 완전 추천! 크림치즈 브라우니도 꾸덕꾸덕 진득하니 달달하고 생크림 스콘 담백한 단맛이라 좋았어요","커피음료(긍정), 쿠키구움과자(긍정)","100100000000"
"성수동 처음 와봤는데 사람들 많길래 들아와봤는데 매장 분위기도 따뜻하고 직원분들도 너무 친절하시네요. 베이글 맛있어요!! 가격은 합리적입니다","베이커리빵(긍정), 분위기감성(긍정), 서비스(긍정), 가격가성비(긍정), 혼잡도_웨이팅(부정)","010000011102"
"파머스 카페 벌써 세번째 방문이에요!! 커피랑 디저트도 맛있고 집중하기도 좋은 공간이라 넘 좋습니다아","커피음료(긍정), 기타디저트(긍정), 분위기감성(긍정)","100001010000"
"분위기도 좋고 음식도 다 맛있어요! 리조또 추천 서비스로 주신 단호박스프도 잘 먹었습니다 다음에 또 올게요","분위기감성(긍정), 서비스(긍정)","000000011000"
"옥수수 미쳤어요! 옥수수 크림라떼 옥수수 프렌치토스트 두번 세번 드세요... 사장님도 친절하시고 정성 이 느껴지는 맛입니다","커피음료(긍정), 베이커리빵(긍정), 기타디저트(긍정), 서비스(긍정)","110001001000"
"분위기 디저트 맛집입니다! 무화과 시즌이라 무화과 피스타치오 크로플이 나왔는데요...!! 존맛탱니에용 꼭 드시러가세요","기타디저트(긍정), 분위기감성(긍정)","000001010000"
"초코베리케익 너무 맛있어요!! 다들 굿굿이라고","케이크(긍정)",001000000000
"예약이 되어서 편한고요 기본에 충실한 맛이에요!","공간편의시설(긍정)",000000100000
"시댁아파트 바로 앞에 있는 맛있는 빵집. 설 연휴 30할인 좋다 앙버터랑 프레첼 구입!","베이커리빵(긍정), 가격가성비(긍정)","010000000100"
"분위기가 너무좋아요 노래도 좋고 한적한 골목가에있어서 조용하네요","분위기감성(긍정), 혼잡도_웨이팅(긍정)","000000010001"
"너무 맛나용 브라우니는 완전 우유랑 잘 어울리고 블루베리는 완전 쉬폰케이크 느낌이에요","케이크(긍정), 쿠키구움과자(긍정)","001100000000"
"맛있어요. 최고!! 분위기도 좋아요. 방문해보세요!!","분위기감성(긍정)",000000010000
"성수에서 잼 맛집 발견하고 들렀어요 식빵이랑 먹으니 과일맛이 진하게 났습니다 맛도 좋고 집에 가져갈 수 있어서 좋았습니다","베이커리빵(긍정), 선물포장(긍정)","010000000010"
"들어가자마자 버터향이 코를 찔러요소금빵 메뉴 정말 다양하고 치아바타랑 까눌레도 있어요 ) 빵투어 추천합니당","베이커리빵(긍정), 쿠키구움과자(긍정)","010100000000"
"주말엔 웨이팅이 있다고 해서 미리 예약하고 갔어요 10분정도 일찍 갔는데도 바로 입장 할 수 있어서 좋았어요!","공간편의시설(긍정), 혼잡도_웨이팅(중립)","000000100003"
"인스타보고 왔어요!! 분좋카","분위기감성(긍정)",000000010000
"쑥 향이 매력적인 투리 숲 크림라떼 짱이에욧","커피음료(긍정)",100000000000
"진한 라떼 맛은 좋고 카라멜크림이 들어간 맥코이커피는 꽤 달아요 시끄럽지 않고 차분한 분위기라 대화나누기 좋구요 직원 분은 불친절해서 주문할 때부터 분위기 다운됐어요","커피음료(긍정), 분위기감성(긍정), 서비스(부정)","100000012000"
"너무 맛있어서 또 왔어요! 특별한 에그타르트 였어요. 너무 맛나요","쿠키구움과자(긍정)",000100000000
"디저트가 맛집,,,진짜 최고,,,","기타디저트(긍정)",000001000000
"서울숲 바로 입구 일반주택 그대로 사용하는 카페에요.인기가 많아 자리잡기 어렵지만... 핸드드립 괜찮다고 추천해줘서 찾아갔는데 좋았어요.","커피음료(긍정), 공간편의시설(부정), 혼잡도_웨이팅(부정)","100000200002"
"성수에 이렇게 힙하고 분위기 좋은 카페바가 있다는 게 너무 행운이네요 위스키도 맛있고 음악, 분위기, 맛 어느 것 하나 빠지지 않는 완벽한 곳입니다!","커피음료(긍정), 분위기감성(긍정)","100000010000"
"시그니처 메뉴 먹어봤어요. 개인적으로 켈리콜드블루하고 허니마론 강추합니다","커피음료(긍정)",100000000000
"뉴믹스 화이팅!! 할매입맛이신 분들 볶은쌀맛 추천이요!!","대상 모호(없음)",000000000000
"점심먹고 지나가다가 키오스크로 주문하고 테이크아웃 해서 먹었어요 아.아는 가성비가 좋아요!","커피음료(긍정), 가격가성비(긍정)","100000000100"
"명성대로 넘 맛있구.. 보통 베이글집은 크림치즈가 맛이 없는데 여기는 넘 맛있어요!!!","베이커리빵(긍정)",010000000000
"맛있기로 유명한 노아베이커리 성수에 생겨서 너무 조아요 노세권","베이커리빵(긍정)",010000000000
"분위기도 좋고 크로플이 너무 맛있어요","기타디저트(긍정), 분위기감성(긍정)",000001010000
"복숭아 빙수 맛있어요! 복숭아도 많고 달아요","빙수과일(긍정)",000010000000
"성수에 자주 가는 곳이 생겼네요 아이스티 마시러 또 가고 싶은 카페","커피음료(긍정)",100000000000
"맛있어용 고소하고 중독적인 맛이에용","대상 모호(없음)",000000000000
"빵 진짜 맛있어요 갓 구운 빵으로 포장해주셨는데 진짜 맛있고 깔끔하게 만드시는 것 같아서 믿음가요!","베이커리빵(긍정), 선물포장(긍정)","010000000010"
"젤라또 맛있어요! 담에 또 방문할게요!","기타디저트(긍정)",000001000000
"친구와 핫하다는 성수에 와서 카페에 왔는데 선택 잘한거같아요","분위기감성(긍정)",000000010000
"먹어본 망고빙수 중 최고! 생망고가 한가득 우유빙수안에는 망고퓨레 와!정성가득한 감동의 맛","빙수과일(긍정)",000010000000
"너무 맛있어요 !! 성수 오면 꼭 먹는 마망이에요 매번 색다른 맛 먹는데 맛이 다 신선하고 맛있어요","기타디저트(긍정)",000001000000
"정말 과장 0.0000001도 없이 제가 인생에서 먹어본 치즈케이크 중 제일 맛있습니다! 밀가루가 안 들어간 케이크라는데, 맛이 정말 독특하고 맛있습니다.","케이크(긍정)",001000000000
"부드러운 유정란 에그타르트가 정말 맛있었어요 커피와 함께 먹으니 완벽한 조합이었어요","커피음료(긍정), 쿠키구움과자(긍정)","100100000000"
"저녁 늦게까지 하는 카페 얼마없는데 분위기도 좋고 커피도 맛있어요 천장이 높아서 쾌적하고 대화하기 좋아요","커피음료(긍정), 공간편의시설(긍정), 분위기감성(긍정)","100000110000"
